,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio,continent
0,Afghanistan,AFG,2021/5/11,504502,448878,55624,12,40146987,1.118086396,
1,Afghanistan,AFG,2021/5/20,547901,470341,77560,10,40146987,1.171547444,
2,Afghanistan,AFG,2021/5/24,573277,476367,96910,10,40146987,1.186557288,
3,Afghanistan,AFG,2021/5/26,590454,479372,111082,19,40146987,1.194042283,
4,Afghanistan,AFG,2021/5/27,593313,479574,113739,14,40146987,1.194545434,
5,Afghanistan,AFG,2021/5/30,600152,480226,119926,20,40146987,1.196169466,
6,Afghanistan,AFG,2021/6/2,626290,481690,144600,34,40146987,1.199816066,
7,Afghanistan,AFG,2021/6/3,630305,481800,148505,27,40146987,1.200090059,
8,Afghanistan,AFG,2021/6/8,641295,482952,158343,64,40146987,1.202959515,
9,Afghanistan,AFG,2021/6/14,662003,484737,177266,85,40146987,1.207405677,
10,Afghanistan,AFG,2021/6/22,765890,582128,183762,78,40146987,1.449991752,
11,Afghanistan,AFG,2021/6/27,835694,649434,186260,56,40146987,1.617640696,
12,Afghanistan,AFG,2021/6/30,886854,699200,187654,77,40146987,1.741600185,
13,Afghanistan,AFG,2021/7/5,915671,726349,189322,84,40146987,1.809224189,
14,Afghanistan,AFG,2021/7/7,934463,735213,199250,55,40146987,1.831303056,
15,Afghanistan,AFG,2021/7/11,962093,742934,219159,86,40146987,1.850534886,
16,Afghanistan,AFG,2021/8/20,1201286,770542,430744,7,40146987,1.919302188,
17,Albania,ALB,2021/2/2,550,549,1,13,2871065,0.019121824,
18,Albania,ALB,2021/2/9,1127,689,438,12,2871065,0.023998063,
19,Albania,ALB,2021/2/17,1701,1090,611,15,2871065,0.037965006,
20,Albania,ALB,2021/2/18,3049,2438,611,18,2871065,0.084916224,
21,Albania,ALB,2021/2/22,6728,6073,655,13,2871065,0.211524295,
22,Albania,ALB,2021/5/11,622507,440921,181586,4,2871065,15.35740222,
23,Albania,ALB,2021/5/12,632676,444755,187921,4,2871065,15.49094151,
24,Albania,ALB,2021/5/13,638338,445402,192936,3,2871065,15.51347671,
25,Albania,ALB,2021/5/14,653330,448571,204759,3,2871065,15.62385387,
26,Albania,ALB,2021/5/17,680083,456980,223103,3,2871065,15.9167417,
27,Albania,ALB,2021/5/18,688947,460191,228756,3,2871065,16.02858173,
28,Albania,ALB,2021/5/19,697811,463402,234409,1,2871065,16.14042176,
29,Albania,ALB,2021/5/20,703743,466083,237660,2,2871065,16.23380174,
30,Albania,ALB,2021/5/21,708846,469169,239677,2,2871065,16.34128799,
31,Albania,ALB,2021/5/23,716616,472840,243776,1,2871065,16.46914995,
32,Albania,ALB,2021/5/24,725135,475237,249898,2,2871065,16.55263813,
33,Albania,ALB,2021/5/26,748986,479789,269197,2,2871065,16.71118557,
34,Albania,ALB,2021/5/27,759043,481788,277255,0,2871065,16.7808113,
35,Albania,ALB,2021/5/30,772204,485162,287042,1,2871065,16.89832867,
36,Albania,ALB,2021/5/31,776461,486128,290333,1,2871065,16.93197472,
37,Albania,ALB,2021/6/1,780342,487078,293264,1,2871065,16.96506349,
38,Albania,ALB,2021/6/3,787321,490050,297271,0,2871065,17.06857908,
39,Albania,ALB,2021/6/6,798624,492522,306102,0,2871065,17.15467954,
40,Albania,ALB,2021/6/7,803682,493346,310336,0,2871065,17.18337969,
41,Albania,ALB,2021/6/8,809992,494437,315555,1,2871065,17.22137952,
42,Albania,ALB,2021/6/9,816556,496024,320532,0,2871065,17.27665518,
43,Albania,ALB,2021/6/10,823053,498437,324616,0,2871065,17.36070065,
44,Albania,ALB,2021/6/11,830281,501735,328546,0,2871065,17.47557091,
45,Albania,ALB,2021/6/12,834868,503721,331147,1,2871065,17.54474385,
46,Albania,ALB,2021/6/13,836430,504257,332173,0,2871065,17.56341288,
47,Albania,ALB,2021/6/14,842535,507764,334771,0,2871065,17.68556267,
48,Albania,ALB,2021/6/15,848430,507854,340576,0,2871065,17.6886974,